,Gunning Fog Index,Coleman-Liau Index,Flesch-Kincaid Grade Level,Automated Readability Index,SMOG Index,,
1.1,19.82,13.93,18.02,19.23,16.81,,https://www.online-utility.org/english/readability_test_and_improve.jsp
2.1,18.84,12.1,16.16,15.23,16.17,,
3.1,13.85,13.56,11.75,10.67,13.3,,
4.1,11.71,11.68,9.34,8.29,11.34,,
5.1,14.55,12.89,12.43,11.94,13.52,,
6.1,12.62,9.92,10.67,9.38,12.32,,
7.1,13.67,13.68,11.68,10.92,12.75,,
8.1,15.71,13.99,12.32,11.11,13.92,,
9.1,14.66,13.68,12.59,11.59,13.9,,
10.1,11.54,10.98,10.2,9.68,11.63,,
11.1,14.02,12.38,11.55,11.03,13.17,,
12.1,12.98,13.92,11.16,10.22,12.1,,
13.1,12.25,12.79,10.9,11.5,12.41,,
14.1,15.24,14.39,12.39,12.25,14.07,,
15.1,13.07,14.26,10.1,9.91,11.52,,
1.2,12.29,14.38,11.64,12.32,12.39,,
2.2,17.56,16.11,15.89,16.26,15.18,,
3.2,21.16,16.35,19.09,20.06,18.6,,
4.2,14.13,15.27,12.78,13.11,13.88,,
5.2,13.8,15.69,12.95,13.06,12.97,,
6.2,13.56,15,12.26,12.66,12.84,,
7.2,35.35,14.78,32.93,38.86,22.75,,
8.2,18.74,19.65,16.91,18.32,16.64,,
9.2,22.96,16.77,20.67,22.68,19.66,,
10.2,12.28,12.44,10.63,10.1,12.41,,
11.2,41.88,17.73,38.51,45.68,29.27,,
12.2,28.54,16.95,26.12,29.65,22.44,,
13.2,18.68,15.04,17.95,19.77,16.29,,
14.2,20.49,18.67,18.39,20.11,17.94,,
15.2,21.67,20.46,20.29,21.74,19.12,,
1.3,14.05,15.7,12.64,13.19,13.58,,
2.3,17.44,15.56,14.49,14.77,15.68,,
3.3,14.22,13.74,11.87,11.23,13.57,,
4.3,13.84,14.28,11.85,12.07,13.42,,
5.3,13.76,13.48,12.04,10.96,12.82,,
6.3,14,12.36,12.26,11.47,13.43,,
7.3,16.74,10.37,14.33,13.67,14.66,,
8.3,16.54,15.79,14.05,14.44,15.37,,
9.3,3.2,4.38,2.28,1.7,6.87,,
10.3,12.69,13.85,11.67,11.66,13,,
11.3,15.54,14.67,13.33,13.03,14.48,,
12.3,8.01,5.74,4.8,3.33,9.71,,
13.3,12.14,13.1,10.33,10.46,11.81,,
14.3,15.9,15.62,14.14,15.11,14.79,,
15.3,16.73,17.13,15.13,14.67,15.15,,
1.4,11.6,10.18,9.22,7.76,11.12,,
2.4,15.17,13.87,12.71,11.44,13.81,,
3.4,12.31,11.22,9.96,8.58,11.75,,
4.4,11.92,7.69,9.05,6.55,11.81,,
5.4,16.06,12.61,13.72,13.27,14.4,,
6.4,11.6,10.17,9.93,8.48,11.6,,
7.4,13.51,13.17,11.56,10.49,12.77,,
8.4,14.95,15.83,12.92,11.36,12.83,,
9.4,12.69,9.86,10.39,8.58,12.15,,
10.4,10.39,10.8,8.6,7.55,10.56,,
11.4,14,16.4,12.5,12.75,13.11,,
12.4,13.81,14.1,11.2,10.1,12.23,,
13.4,11.55,11.8,9.74,9.43,11.75,,
14.4,14.98,13.41,12.47,11.49,13.95,,
15.4,12.11,10.55,9.31,7.2,11.55,,
1.5,10.8,11.42,9.46,8.79,11.03,,
2.5,14.29,12.31,11.51,9.45,13.01,,
5.5,10.34,10.89,8.74,7.81,11.14,,
4.5,11.03,11.47,9.01,8.06,11.03,,
5.5,10.36,10.23,8.81,7.24,10.91,,
6.5,10.43,10.76,9.39,8.2,10.96,,
7.5,11.99,12.17,10.32,9.05,11.68,,
8.5,14.03,14.85,11.8,11.18,12.96,,
9.5,10.46,10.22,8.95,7.44,10.8,,
10.5,10.66,10.47,8.62,7.94,10.91,,
11.5,12.05,11.67,10,8.87,11.67,,
12.5,13.78,13.66,11.49,10.28,12.6,,
13.5,9.83,10.45,8.25,7.24,10.48,,
14.5,13.83,14.95,11.83,11.99,13.23,,
15.5,12.01,12.93,9.75,9.01,11.42,,
